topic_id,topic_name
3,/Arts & Entertainment
5,/Computers & Electronics
7,/Finance
8,/Games
11,/Home & Garden
12,/Business & Industrial
13,/Internet & Telecom
14,/People & Society
16,/News
18,/Shopping
19,/Law & Government
20,/Sports
22,/Books & Literature
23,/Arts & Entertainment/Performing Arts
24,/Arts & Entertainment/Visual Art & Design
25,/Business & Industrial/Advertising & Marketing
28,/Business & Industrial/Business Services/Office Services
29,/Real Estate
30,/Computers & Electronics/Computer Hardware
31,/Computers & Electronics/Programming
32,/Computers & Electronics/Software
33,/Arts & Entertainment/Offbeat
34,/Arts & Entertainment/Movies
35,/Arts & Entertainment/Music & Audio
36,/Arts & Entertainment/TV & Video
37,/Finance/Banking
38,/Finance/Insurance
39,/Games/Card Games
41,/Games/Computer & Video Games
42,/Arts & Entertainment/Music & Audio/Jazz & Blues/Jazz
43,/Online Communities/Online Goodies
44,/Beauty & Fitness
45,/Health
46,/Business & Industrial/Agriculture & Forestry
47,/Autos & Vehicles
48,/Business & Industrial/Construction & Maintenance
49,/Business & Industrial/Manufacturing
50,/Business & Industrial/Transportation & Logistics
53,/Internet & Telecom/Web Services/Web Hosting & Domain Registration
54,/People & Society/Social Issues & Advocacy
55,/Online Communities/Dating & Personals
56,/People & Society/Ethnic & Identity Groups
57,/People & Society/Social Issues & Advocacy/Charity & Philanthropy
58,/People & Society/Family & Relationships/Family/Parenting
59,/People & Society/Religion & Belief
60,/Jobs & Education/Jobs
61,/Shopping/Classifieds
63,/News/Weather
64,/Shopping/Antiques & Collectibles
65,/Hobbies & Leisure
66,/Pets & Animals
67,/Travel
68,/Shopping/Apparel
69,/Shopping/Consumer Resources
70,/Shopping/Gifts & Special Event Items
71,/Food & Drink
73,/Shopping/Mass Merchants & Department Stores
74,/Jobs & Education/Education
75,/Law & Government/Legal
76,/Law & Government/Government
77,/Computers & Electronics/Enterprise Technology
78,/Computers & Electronics/Consumer Electronics
82,/People & Society/Social Issues & Advocacy/Green Living & Environmental Issues
83,/Business & Industrial/Advertising & Marketing/Marketing
84,/Internet & Telecom/Web Services/Search Engine Optimization & Marketing
89,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories
91,/Computers & Electronics/Consumer Electronics/Audio Equipment/Stereo Systems & Components
93,/Beauty & Fitness/Face & Body Care/Skin & Nail Care
94,/Beauty & Fitness/Fitness
95,/Business & Industrial/Business Services/Office Supplies
96,/Real Estate/Real Estate Services/Real Estate Agencies
97,/Shopping/Consumer Resources/Consumer Advocacy & Protection
98,/Beauty & Fitness/Fashion & Style/Fashion Designers & Collections
99,/Shopping/Gifts & Special Event Items/Gifts
100,/Shopping/Gifts & Special Event Items/Cards & Greetings
101,/People & Society/Religion & Belief/Spirituality
102,/Online Communities/Dating & Personals/Personals
104,/Internet & Telecom/Service Providers/ISPs
105,/Games/Computer & Video Games/Browser Games
107,/Finance/Investing
108,/Reference/Language Resources
112,/News/Broadcast & Network News
113,"/People & Society/Ethnic & Identity Groups/Lesbian, Gay, Bisexual & Transgender"
115,/People & Society/Family & Relationships/Family/Parenting/Babies & Toddlers/Baby Care & Hygiene
118,/Sports/Water Sports
119,/Pets & Animals/Wildlife
120,/Home & Garden/Kitchen & Dining/Cookware & Diningware
121,/Food & Drink/Food & Grocery Retailers
122,/Food & Drink/Cooking & Recipes
124,/Shopping/Apparel/Clothing Accessories
137,/Home & Garden/Home & Interior Decor
138,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance
143,/Beauty & Fitness/Face & Body Care
144,/Beauty & Fitness/Face & Body Care/Unwanted Body & Facial Hair Removal
145,/Beauty & Fitness/Beauty Services & Spas
146,/Beauty & Fitness/Hair Care
147,/Beauty & Fitness/Cosmetology & Beauty Professionals
148,/Autos & Vehicles/Motor Vehicles (By Type)/Off-Road Vehicles
157,/Business & Industrial/Business Operations/Human Resources
158,/Home & Garden/Home Improvement
166,/Law & Government/Public Safety
168,/Law & Government/Public Safety/Emergency Services
170,/Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle Licensing & Registration
171,/People & Society/Ethnic & Identity Groups/Indigenous Peoples/Native Americans
174,/Science
179,/Travel/Hotels & Accommodations
180,/Sports/Motor Sports
182,/Arts & Entertainment/Humor
184,/Arts & Entertainment/Celebrities & Entertainment News
185,/Beauty & Fitness/Fashion & Style
188,"/Arts & Entertainment/Events & Listings/Bars, Clubs & Nightlife"
189,/Hobbies & Leisure/Clubs & Organizations
191,/Online Communities/Forum & Chat Providers
195,/Health/Reproductive Health
198,/Health/Reproductive Health/Birth Control
202,/Health/Reproductive Health/Male Impotence
203,/Travel/Air Travel
205,/Travel/Car Rental & Taxi Services
206,/Travel/Cruises & Charters
208,/Travel/Tourist Destinations
210,/Arts & Entertainment/Movies/DVD & Video Shopping
211,/Arts & Entertainment/TV & Video/Online Video
213,/Arts & Entertainment/Movies/Movie Memorabilia
215,/Arts & Entertainment/Music & Audio/Radio
216,/Arts & Entertainment/Music & Audio/Music Equipment & Technology/Musical Instruments
217,/Arts & Entertainment/Music & Audio/CD & Audio Shopping
218,/Arts & Entertainment/Music & Audio/Music Art & Memorabilia
220,/Arts & Entertainment/Music & Audio/Music Streams & Downloads
224,/Computers & Electronics/Software/Software Utilities
225,/Computers & Electronics/Software/Device Drivers
226,/Computers & Electronics/Computer Hardware/Computer Components/Computer Memory
227,/Computers & Electronics/Consumer Electronics/Gadgets & Portable Electronics/MP3 & Portable Media Players
228,/Computers & Electronics/Consumer Electronics/Gadgets & Portable Electronics/PDAs & Handhelds
229,/Computers & Electronics/Consumer Electronics/TV & Video Equipment
230,/Computers & Electronics/Consumer Electronics/Car Electronics/Car Audio
231,/Science/Engineering & Technology
233,/Business & Industrial/Energy & Utilities
234,/Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics
235,/Beauty & Fitness/Hair Care/Hair Loss
236,/Beauty & Fitness/Weight Loss
237,/Health/Nutrition/Vitamins & Supplements
238,/Health/Medical Facilities & Services/Medical Procedures/Surgery/Cosmetic Surgery
239,/Beauty & Fitness/Body Art
241,/Beauty & Fitness/Fitness/Bodybuilding
242,/Beauty & Fitness/Face & Body Care/Perfumes & Fragrances
244,/Beauty & Fitness/Face & Body Care/Hygiene & Toiletries
245,/Health/Oral & Dental Care
246,/Health/Vision Care
248,/Health/Pharmacy
249,/Finance/Insurance/Health Insurance
250,/Health/Medical Facilities & Services/Hospitals & Treatment Centers
251,/Health/Medical Devices & Equipment
252,/Health/Health Foundations & Medical Research
253,/Health/Medical Literature & Resources
254,/Health/Health Education & Medical Training
255,/Business & Industrial/Pharmaceuticals & Biotech
256,/Health/Medical Facilities & Services
257,/Health/Substance Abuse
258,/Sports/Team Sports/American Football
259,/Sports/Team Sports/Baseball
260,/Sports/Team Sports/Hockey
261,/Sports/Individual Sports/Golf
262,/Sports/Individual Sports/Racquet Sports
263,/Sports/Sporting Goods
264,/Sports/Team Sports/Basketball
265,/Sports/Winter Sports
268,/Reference/Geographic Reference/Maps
269,"/Home & Garden/Patio, Lawn & Garden/Gardening"
270,/Home & Garden/Home Furnishings
271,/Home & Garden/Home Appliances
272,/Home & Garden/Home Furnishings/Lamps & Lighting
273,/Autos & Vehicles/Motor Vehicles (By Type)/Motorcycles
275,/Online Communities/Photo & Video Sharing
276,/Food & Drink/Restaurants
278,/Finance/Accounting & Auditing
279,/Finance/Credit & Lending
280,/Business & Industrial/Business Services/E-Commerce Services/Merchant Services & Payment Systems
284,/Hobbies & Leisure/Crafts
287,/Business & Industrial/Industrial Materials & Equipment
288,/Business & Industrial/Chemicals Industry
289,/Business & Industrial/Transportation & Logistics/Freight & Trucking
290,/Business & Industrial/Transportation & Logistics/Packaging
291,/Business & Industrial/Transportation & Logistics/Moving & Relocation
292,/Shopping/Auctions
293,/Hobbies & Leisure/Special Occasions/Weddings
294,/Sports/Team Sports/Soccer
296,/Sports/Team Sports/Cricket
297,/Food & Drink/Cooking & Recipes/Culinary Training
298,/People & Society/Seniors & Retirement
299,/Online Communities
301,/Internet & Telecom/Web Portals
302,/Internet & Telecom/Web Services
303,/Computers & Electronics/Software/Operating Systems
304,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers
305,/Computers & Electronics/Consumer Electronics/TV & Video Equipment/Televisions
306,/Computers & Electronics/Consumer Electronics/Camera & Photo Equipment/Cameras & Camcorders
307,/Computers & Electronics/Consumer Electronics/Camera & Photo Equipment/Cameras & Camcorders/Cameras
308,/Computers & Electronics/Consumer Electronics/Camera & Photo Equipment/Cameras & Camcorders/Camcorders
309,/Computers & Electronics/Computer Hardware/Desktop Computers
310,/Computers & Electronics/Computer Hardware/Laptops & Notebooks
311,/Computers & Electronics/Networking
312,/Computers & Electronics/Computer Hardware/Computer Peripherals
313,/Computers & Electronics/Software/Open Source
314,/Computers & Electronics/Computer Security
315,/Computers & Electronics/Computer Security/Antivirus & Malware
316,/Arts & Entertainment/Comics & Animation
317,/Arts & Entertainment/Comics & Animation/Anime & Manga
318,/Arts & Entertainment/Comics & Animation/Comics
319,/Arts & Entertainment/Comics & Animation/Cartoons
320,/Online Communities/Dating & Personals/Photo Rating Sites
321,/Online Communities/File Sharing & Hosting
323,/Shopping/Gifts & Special Event Items/Flowers
324,/Shopping/Gifts & Special Event Items/Party & Holiday Supplies
325,/People & Society/Women's Interests
326,/Internet & Telecom/Web Services/Affiliate Programs
327,/Business & Industrial/Advertising & Marketing/Public Relations
328,/Business & Industrial/Advertising & Marketing/Telemarketing
329,/Business & Industrial/Business Services
330,/Business & Industrial/Business Operations/Human Resources/Recruitment & Staffing
331,/Business & Industrial/Business Operations/Human Resources/Corporate Training
332,/Business & Industrial/Printing & Publishing/Document & Printing Services
333,/Business & Industrial/Business Services/Office Supplies/Office Furniture
334,/Business & Industrial/Business Services/Corporate Events
335,/Business & Industrial/Business Services/Corporate Events/Trade Fairs & Industry Shows
336,/Business & Industrial/Business Operations/Business Plans & Presentations
337,/Business & Industrial/Business Services/Office Services/Office & Facilities Management
338,/Business & Industrial/Business Operations/Management
340,/Business & Industrial/Business Services/E-Commerce Services
341,/Computers & Electronics/Enterprise Technology/Customer Relationship Management (CRM)
342,/Computers & Electronics/Enterprise Technology/Enterprise Resource Planning (ERP)
343,/Computers & Electronics/Enterprise Technology/Data Management
344,/Computers & Electronics/Computer Security/Network Security
346,/Computers & Electronics/Networking/Networking Equipment
347,/Computers & Electronics/Networking/Network Monitoring & Management
350,/Shopping/Apparel/Clothing Accessories/Gems & Jewelry
352,/Shopping/Consumer Resources/Product Reviews & Price Comparisons/Price Comparisons
353,/Shopping/Consumer Resources/Product Reviews & Price Comparisons
354,/Business & Industrial/Transportation & Logistics/Import & Export
355,/Books & Literature/Book Retailers
356,/Business & Industrial/Aerospace & Defense
357,/Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas/TV Soap Operas
358,/Arts & Entertainment/TV & Video/TV Shows & Programs
359,/Arts & Entertainment/TV & Video/TV Networks & Stations
360,/Arts & Entertainment/Movies/Bollywood & South Asian Film
361,/Computers & Electronics/Consumer Electronics/Audio Equipment
362,/Computers & Electronics/Consumer Electronics/Gadgets & Portable Electronics
365,/Shopping/Consumer Resources/Coupons & Discount Offers
366,/Law & Government/Military
367,/Jobs & Education/Education/Distance Learning
369,/Jobs & Education/Education/Vocational & Continuing Education
371,/Jobs & Education/Education/Primary & Secondary Schooling (K-12)
372,/Jobs & Education/Education/Colleges & Universities
373,/Jobs & Education/Education/Standardized & Admissions Tests
374,/Reference/General Reference/Educational Resources
375,/Reference/Libraries & Museums
377,/Reference/Directories & Listings/Business & Personal Listings
378,/Real Estate/Real Estate Listings/Residential Rentals
379,/Pets & Animals/Animal Products & Services/Pet Food & Pet Care Supplies
380,/Pets & Animals/Animal Products & Services/Veterinarians
381,/Games/Computer & Video Games/Gaming Reference & Reviews/Video Game Cheats & Hints
382,/Internet & Telecom/Mobile & Wireless
383,/Internet & Telecom/Service Providers
384,/Internet & Telecom/Service Providers/Phone Service Providers
385,/Internet & Telecom/Communications Equipment
386,/Internet & Telecom/Email & Messaging/Voice & Video Chat
389,/Internet & Telecom/Service Providers/Phone Service Providers/Calling Cards
390,/Internet & Telecom/Mobile & Wireless/Mobile Phones
392,/Internet & Telecom/Teleconferencing
394,/Internet & Telecom/Email & Messaging
396,/News/Politics
398,/News/Politics/Campaigns & Elections
400,/People & Society/Family & Relationships/Family/Ancestry & Genealogy
401,/People & Society/Family & Relationships/Family/Parenting/Pregnancy & Maternity
402,/People & Society/Family & Relationships/Family/Parenting/Youth Camps
403,/People & Society/Family & Relationships/Family/Parenting/Child Care
408,/News/Newspapers
409,/News/Politics/Right-Wing Politics
410,/News/Politics/Left-Wing Politics
412,/Books & Literature/Magazines
418,/Health/Nursing
419,/Health/Health Conditions
420,/Health/Health Conditions/Skin Conditions
421,/Health/Reproductive Health/Sexually Transmitted Diseases
422,/Internet & Telecom/Web Services/Web Design & Development
423,/Law & Government/Legal/Bankruptcy
424,/Law & Government/Legal/Criminal Law
425,/Real Estate/Real Estate Services/Property Management
426,/Law & Government/Legal/Intellectual Property
427,/Law & Government/Legal/Accident & Personal Injury Law
428,/Shopping/Apparel/Casual Apparel/T-Shirts
429,/Health/Health Conditions/Cancer
432,/Shopping/Toys
433,/Reference/Humanities/History
434,/Computers & Electronics/Electronics & Electrical
435,/Science/Astronomy
436,/Science/Mathematics
437,/Health/Mental Health
438,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories/Vehicle Wheels & Tires
439,/Arts & Entertainment/Visual Art & Design/Photographic & Digital Arts
440,/Science/Biological Sciences
441,/Science/Earth Sciences/Water & Marine Sciences
442,/Science/Ecology & Environment
443,/Science/Earth Sciences/Geology
444,/Science/Physics
445,/Science/Scientific Equipment
446,/Science/Scientific Institutions
447,/Arts & Entertainment/Fun & Trivia/Flash-Based Entertainment
448,/People & Society/Religion & Belief/Astrology & Divination
449,/Arts & Entertainment/Offbeat/Occult & Paranormal
450,/Shopping/Consumer Resources/Customer Services
451,/Shopping/Consumer Resources/Customer Services/Warranties & Service Contracts
456,/Health/Nutrition
457,/Health/Nutrition/Special & Restricted Diets
458,/Sports/Individual Sports/Cycling
459,/Hobbies & Leisure/Water Activities/Boating
461,/Hobbies & Leisure/Outdoors/Hunting & Shooting
462,/Hobbies & Leisure/Outdoors/Fishing
463,/Real Estate/Real Estate Services/Property Inspections & Appraisals
465,/Finance/Insurance/Home Insurance
466,/Finance/Credit & Lending/Loans/Home Financing
467,/Finance/Insurance/Vehicle Insurance/Auto Insurance
468,/Finance/Credit & Lending/Loans/Vehicle Financing/Auto Financing
471,/Home & Garden/Pest Control
472,/Home & Garden/Domestic Services
473,/Autos & Vehicles/Vehicle Shopping
474,/Reference/Humanities
477,/Arts & Entertainment/Visual Art & Design/Architecture
485,/Internet & Telecom/Search Engines
486,/Computers & Electronics/Software/Multimedia Software/Graphics & Animation Software
487,/Computers & Electronics/Computer Hardware/Computer Peripherals/Computer Monitors & Displays
488,/Computers & Electronics/Networking/Data Formats & Protocols
492,/Computers & Electronics/Consumer Electronics/TV & Video Equipment/Video Players & Recorders
493,/Computers & Electronics/Computer Hardware/Computer Peripherals/Input Devices
